HackID,HackCounty,Gender,Race,Ethnicity
518,402,Male,American Indian/Native American,N= Not Hispanic Origin
962,67,Male,White,N= Not Hispanic Origin
1221,67,Female,White,N= Not Hispanic Origin
1369,67,Female,White,N= Not Hispanic Origin
1554,67,Female,White,N= Not Hispanic Origin
1998,134,Male,Black/African American,N= Not Hispanic Origin
2257,67,Female,White,N= Not Hispanic Origin
2664,67,Female,White,N= Not Hispanic Origin
2849,67,Female,White,N= Not Hispanic Origin
2923,268,Female,White,N= Not Hispanic Origin
3034,268,Female,White,N= Not Hispanic Origin
3145,268,Male,Black/African American,N= Not Hispanic Origin
3626,268,Male,Black/African American,N= Not Hispanic Origin
3663,268,Male,White,N= Not Hispanic Origin
3811,268,Female,Black/African American,N= Not Hispanic Origin
4329,67,Male,White,N= Not Hispanic Origin
4884,268,Female,Black/African American,N= Not Hispanic Origin
5069,67,Female,White,N= Not Hispanic Origin
5106,268,Male,Black/African American,N= Not Hispanic Origin
5254,134,Female,White,N= Not Hispanic Origin
5291,0,Male,Black/African American,N= Not Hispanic Origin
5365,67,Male,White,N= Not Hispanic Origin
6290,201,Female,White,N= Not Hispanic Origin
6364,67,Female,White,N= Not Hispanic Origin
6845,67,Female,Black/African American,N= Not Hispanic Origin
6956,67,Male,White,N= Not Hispanic Origin
7030,67,Male,White,N= Not Hispanic Origin
7141,67,Female,White,N= Not Hispanic Origin
7215,67,Male,White,N= Not Hispanic Origin
7548,67,Male,White,N= Not Hispanic Origin
7659,67,Male,White,N= Not Hispanic Origin
7696,67,Female,White,N= Not Hispanic Origin
8140,0,Female,White,N= Not Hispanic Origin
8177,0,Female,White,N= Not Hispanic Origin
8251,0,Male,White,N= Not Hispanic Origin
8325,0,Male,Other,N= Not Hispanic Origin
8769,6834,Male,Black/African American,N= Not Hispanic Origin
9287,0,Female,Black/African American,N= Not Hispanic Origin
10693,0,Female,White,N= Not Hispanic Origin
11174,0,Male,White,N= Not Hispanic Origin
11433,134,Female,White,N= Not Hispanic Origin
11692,0,Male,White,N= Not Hispanic Origin
11766,0,Male,White,N= Not Hispanic Origin
12099,0,Female,White,N= Not Hispanic Origin
12432,134,Female,White,N= Not Hispanic Origin
12728,0,Male,White,N= Not Hispanic Origin
12950,6834,Male,White,N= Not Hispanic Origin
13024,134,Female,White,N= Not Hispanic Origin
13098,0,Male,White,N= Not Hispanic Origin
13579,0,Male,White,N= Not Hispanic Origin
13616,0,Female,Black/African American,N= Not Hispanic Origin
13690,134,Male,White,N= Not Hispanic Origin
13949,134,Female,White,N= Not Hispanic Origin
14134,0,Male,White,N= Not Hispanic Origin
14208,134,Male,White,N= Not Hispanic Origin
14245,0,Male,White,N= Not Hispanic Origin
14652,134,Female,White,N= Not Hispanic Origin
14948,0,Female,White,N= Not Hispanic Origin
15133,0,Female,Black/African American,N= Not Hispanic Origin
15429,0,Male,Black/African American,N= Not Hispanic Origin
15799,0,Male,White,N= Not Hispanic Origin
15910,134,Female,White,N= Not Hispanic Origin
16095,134,Female,White,N= Not Hispanic Origin
16132,0,Male,White,N= Not Hispanic Origin
16391,134,Male,White,N= Not Hispanic Origin
16724,0,Female,White,N= Not Hispanic Origin
16835,134,Female,White,N= Not Hispanic Origin
16872,0,Female,White,N= Not Hispanic Origin
16983,0,Female,Black/African American,N= Not Hispanic Origin
17094,134,Male,White,N= Not Hispanic Origin
17242,0,Male,Black/African American,N= Not Hispanic Origin
17686,0,Female,Black/African American,N= Not Hispanic Origin
17797,0,Male,White,N= Not Hispanic Origin
17982,201,Female,White,N= Not Hispanic Origin
18722,134,Female,White,N= Not Hispanic Origin
18870,0,Female,Black/African American,N= Not Hispanic Origin
19203,0,Female,White,N= Not Hispanic Origin
19462,201,Female,White,N= Not Hispanic Origin
19721,201,Male,White,N= Not Hispanic Origin
19906,0,Female,Black/African American,N= Not Hispanic Origin
19943,134,Female,White,N= Not Hispanic Origin
